iter	Passed	Remaining
474	636	703
475	637	701
476	638	699
477	638	697
478	639	695
479	640	693
480	641	691
481	642	689
482	642	688
483	643	686
484	644	684
485	645	682
486	646	680
487	646	678
488	647	676
489	648	675
490	649	673
491	650	671
492	651	669
493	652	668
494	653	666
495	653	664
496	654	662
497	655	660
498	656	658
499	656	656
500	657	655
501	658	653
502	659	651
503	660	649
504	660	647
505	661	646
506	662	644
507	663	642
508	664	641
509	665	639
510	666	637
511	667	636
512	668	634
513	669	632
514	669	630
515	670	629
516	671	627
517	672	625
518	673	623
519	673	622
520	674	620
521	675	618
522	676	616
523	676	614
524	677	613
525	678	611
526	679	610
527	680	608
528	681	606
529	682	605
530	683	603
531	683	601
532	684	599
533	685	598
534	686	596
535	686	594
536	687	593
537	688	591
538	689	589
539	690	587
540	690	586
541	691	584
542	692	582
543	693	581
544	694	579
545	695	578
546	696	576
547	697	575
548	698	573
549	698	571
550	699	570
551	700	568
552	701	566
553	702	565
554	702	563
555	703	561
556	704	560
557	705	558
558	706	557
559	706	555
560	707	553
561	708	552
562	709	550
563	711	549
564	711	548
565	712	546
566	713	544
567	714	543
568	714	541
569	715	539
570	716	538
571	717	536
572	718	535
573	719	533
574	719	532
575	720	530
576	721	528
577	722	527
578	723	525
579	723	524
580	724	522
581	726	521
582	726	519
583	727	518
584	728	516
585	729	515
586	729	513
587	730	511
588	731	510
589	732	508
590	733	507
591	733	505
592	734	504
593	735	502
594	736	501
595	737	499
596	738	498
597	739	496
598	740	495
599	741	494
600	742	492
601	743	491
602	743	489
603	744	488
604	745	486
605	746	485
606	747	483
607	747	482
608	748	480
609	749	479
610	750	477
611	750	476
612	751	474
613	752	473
614	753	471
615	754	470
616	755	468
617	756	467
618	757	466
619	758	464
620	758	463
621	759	461
622	760	460
623	761	458
624	762	457
625	762	455
626	763	454
627	764	452
628	765	451
629	766	449
630	766	448
631	767	447
632	768	445
633	769	444
634	770	442
635	771	441
636	772	440
637	772	438
638	773	437
639	774	435
640	775	434
641	776	432
642	776	431
643	777	429
644	778	428
645	779	426
646	779	425
647	780	424
648	781	422
649	782	421
650	783	420
651	784	418
652	785	417
653	786	416
654	787	414
655	788	413
656	789	412
657	790	410
658	791	409
659	791	407
660	792	406
661	793	405
662	794	403
663	795	402
664	796	401
665	797	399
666	798	398
667	798	397
668	799	395
669	800	394
670	801	392
671	802	391
672	803	390
673	804	389
674	805	387
675	806	386
676	807	385
677	807	383
678	808	382
679	809	381
680	810	379
681	811	378
682	812	376
683	813	375
684	813	374
685	814	372
686	815	371
687	816	370
688	817	369
689	818	367
690	819	366
691	820	365
692	821	363
693	822	362
694	823	361
695	824	359
696	824	358
697	825	357
698	826	355
699	827	354
700	828	353
701	829	352
702	830	350
703	830	349
704	831	348
705	833	346
706	833	345
707	834	344
708	835	342
709	836	341
710	837	340
711	838	338
712	838	337
713	839	336
714	840	335
715	841	333
716	842	332
717	843	331
718	843	329
719	844	328
720	845	327
721	846	326
722	847	324
723	848	323
724	849	322
725	850	321
726	851	319
727	852	318
728	853	317
729	854	315
730	855	314
731	855	313
732	856	312
733	857	310
734	858	309
735	859	308
736	859	306
737	860	305
738	861	304
739	862	303
740	863	301
741	864	300
742	865	299
743	866	298
744	867	296
745	868	295
746	869	294
747	869	293
748	870	291
749	871	290
750	872	289
751	873	288
752	874	286
753	875	285
754	876	284
755	877	283
756	878	281
757	879	280
758	880	279
759	881	278
760	882	277
761	883	275
762	884	274
763	885	273
764	885	272
765	886	270
766	887	269
767	888	268
768	889	267
769	890	265
770	891	264
771	891	263
772	892	262
773	893	261
774	894	259
775	895	258
776	896	257
777	897	256
778	898	254
779	899	253
780	900	252
781	900	251
782	901	249
783	902	248
784	903	247
785	904	246
786	905	244
787	905	243
788	906	242
789	907	241
790	908	240
791	909	238
792	910	237
793	911	236
794	912	235
795	913	234
796	914	232
797	914	231
798	915	230
799	916	229
800	917	227
801	918	226
802	918	225
803	919	224
804	920	223
805	921	221
806	922	220
807	923	219
808	924	218
809	925	217
810	926	216
811	927	214
812	928	213
813	929	212
814	930	211
815	931	210
816	932	208
817	933	207
818	934	206
819	935	205
820	936	204
821	937	202
822	938	201
823	939	200
824	940	199
825	941	198
826	942	197
827	943	196
828	944	194
829	945	193
830	946	192
831	947	191
832	948	190
833	949	188
834	950	187
835	950	186
836	951	185
837	952	184
838	953	183
839	954	181
840	955	180
841	956	179
842	957	178
843	958	177
844	959	176
845	960	174
846	961	173
847	962	172
848	963	171
849	964	170
850	964	168
851	965	167
852	966	166
853	967	165
854	968	164
855	969	163
856	970	161
857	971	160
858	972	159
859	973	158
860	974	157
861	975	156
862	976	155
863	977	153
864	978	152
865	979	151
866	980	150
867	981	149
868	982	148
869	983	146
870	984	145
871	985	144
872	986	143
873	987	142
874	988	141
875	989	140
876	990	138
877	991	137
878	992	136
879	993	135
880	994	134
881	995	133
882	996	131
883	997	130
884	998	129
885	999	128
886	1000	127
887	1001	126
888	1002	125
889	1003	123
890	1003	122
891	1004	121
892	1005	120
893	1006	119
894	1007	118
895	1008	117
896	1009	115
897	1010	114
898	1010	113
899	1011	112
900	1012	111
901	1013	110
902	1014	108
903	1015	107
904	1016	106
905	1017	105
906	1018	104
907	1019	103
908	1020	102
909	1021	100
910	1022	99
911	1023	98
912	1023	97
913	1024	96
914	1025	95
915	1026	94
916	1027	93
917	1028	91
918	1029	90
919	1030	89
920	1031	88
921	1032	87
922	1033	86
923	1034	85
924	1035	83
925	1035	82
926	1036	81
927	1037	80
928	1038	79
929	1039	78
930	1040	77
931	1041	75
932	1042	74
933	1043	73
934	1044	72
935	1045	71
936	1046	70
937	1047	69
938	1048	68
939	1049	66
940	1050	65
941	1051	64
942	1052	63
943	1053	62
944	1053	61
945	1054	60
946	1055	59
947	1056	57
948	1057	56
949	1058	55
950	1059	54
951	1060	53
952	1061	52
953	1062	51
954	1063	50
955	1063	48
956	1064	47
957	1065	46
958	1066	45
959	1067	44
960	1068	43
961	1069	42
962	1069	41
963	1070	39
964	1071	38
965	1072	37
966	1073	36
967	1073	35
968	1074	34
969	1075	33
970	1076	32
971	1077	31
972	1078	29
973	1079	28
974	1080	27
975	1081	26
976	1082	25
977	1083	24
978	1083	23
979	1084	22
980	1085	21
981	1086	19
982	1087	18
983	1088	17
984	1088	16
985	1090	15
986	1091	14
987	1092	13
988	1093	12
989	1093	11
990	1094	9
991	1095	8
992	1096	7
993	1097	6
994	1097	5
995	1098	4
996	1099	3
997	1100	2
998	1100	1
999	1101	0
